street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
450A GREERS ROAD,BISHOPDALE,CHRISTCHURCH,8053,House,3,1,1,2,3,847,119,1970,650,7/07/2025,7,Myrent.Co.NZ Ltd,670000,430000,240000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1970's-average,partial,dryer;fridge;washer;washer/dryer,Pets OK,YES,-43.4875501,172.5965225
2/31 Newmark Street,Bishopdale,Christchurch City,8053,House,3,2,1,,1,137,119,2024,650,8/09/2025,16,Ray White Morris & Co Property Management Ltd,660000,235000,425000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,,,,Yes,-43.4908991,172.5837323
88A PHILPOTTS ROAD,MAIREHAU,CHRISTCHURCH,8052,House,3,1,,2,2,911,120,1975,650,23/01/2025,8,Fraser Flynn Property Management,590000,375000,215000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,nill,,,NO,-43.4932686,172.6363331
90 NEILL STREET,HORNBY,CHRISTCHURCH,8042,House,3,1,,2,2,911,120,1960,650,10/02/2025,36,Grenadier Rent Shop Limited,630000,380000,250000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1960's-average,nill,,,NO,-43.5483903,172.5373091
238 WESTON ROAD,MAIREHAU,CHRISTCHURCH,8052,House,3,1,,2,2,655,120,1940,650,10/03/2025,43,Cowdy,750000,430000,320000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.4992416,172.6351377
40 MCFADDENS ROAD,ST ALBANS,CHRISTCHURCH,8052,House,3,2,,2,2,607,120,1930,650,13/03/2025,7,Harcourts Asset Managers,1050000,460000,590000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,nill,,No,NO,-43.5012069,172.6267721
43 WYON STREET,LINWOOD,CHRISTCHURCH,8062,House,3,1,1,,1,311,120,1920,650,13/03/2025,22,Prestige Property Management Ltd,440000,240000,200000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,YES,-43.5281301,172.676001
1/357 LYTTELTON STREET,SPREYDON,CHRISTCHURCH,8024,,3,1,,2,2,,120,1915,650,11/04/2025,9,Freedom Property Management Limited,640000,410000,230000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-pre 1914-average,nill,,,NO,-43.5508118,172.6013555
87 RAHERA STREET,SPREYDON,CHRISTCHURCH,8024,House,3,1,,1,1,391,120,1960,650,11/04/2025,9,Bayleys Property Management Ltd,610000,400000,210000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Brick,Residential-Dwelling-1960's-average,partial,washing machine,Pets OK,NO,-43.5540423,172.614139
55 HARE STREET,ILAM,CHRISTCHURCH,8041,House,3,1,,4,4,721,120,1950,650,24/04/2025,18,Ruby Property Enterprises Ltd,700000,510000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-1950's-average,nill,,,NO,-43.52664,172.5596535
