street_address,suburb,city,postcode,property_type2,bedrooms,bathrooms,garage_parks,offstreet_parks,Carparks,land_size,floor_size,year_built,last_rent_price,last_rent_date,days_on_market,agency,capital_value,land_value,improvement_value,valuation,land_use,development_zone,position,view,roof_construction,wall_construction,category,furnishings,furnishings_evidence,pets,garage,Latitude,Longitude
3/88 HAWKE STREET,NEW BRIGHTON,CHRISTCHURCH,8083,Unit,2,1,1,,1,,90,1995,480,9/04/2025,7,Holmwood Property Management,400000,215000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-1990's-average,nill,,,YES,-43.5068944,172.7246446
1/5 ARCHDALL PLACE,AVONHEAD,CHRISTCHURCH,8042,Unit,2,2,,1,1,98,90,1970,480,12/06/2025,7,Orbit Property Management Ltd,560000,338064.5161,221935.4839,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5216118,172.5601632
2/5 ARCHDALL PLACE,AVONHEAD,CHRISTCHURCH,8042,Townhouse,2,1,,1,1,98,90,2025,480,13/06/2025,7,Orbit Property Management,530000,330000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5216118,172.5601632
2/29 BARRIE STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,2,1,,,,85,90,2025,480,24/07/2025,37,Harcourts Asset Managers,445000,196493.5065,248506.4935,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Tile Profile,Brick,Residential-OYO-1980's-average,nill,,No,NO,-43.5465924,172.6252597
1/25 NASEBY STREET,MERIVALE,CHRISTCHURCH,8014,Unit,2,1,1,,1,794,90,1970,480,25/07/2025,7,"Cowdy, (Licensed: Reaa 2008)",,,,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5173863,172.6165577
2/16 ANSONBY STREET,RUSSLEY,CHRISTCHURCH,8042,Townhouse,2,1,,2,2,98,90,2025,480,4/08/2025,41,Unity Property Management Ltd.,540000,355000,185000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.515367,172.5447576
1/75 HAREWOOD ROAD,PAPANUI,CHRISTCHURCH,8053,Unit,2,1,1,,1,,90,1975,480,14/08/2025,27,Wolfbrook Property Management,440000,270000,170000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,,,,YES,-43.4954464,172.6024952
1/101 Harakeke Street,Fendalton,Christchurch City,8014,unit,2,1,1,2,2,140,90,1950,480,22/09/2025,2,Harcourts Asset Managers,468750,273032.256,195717.744,1/08/2022,Multi-unit,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-Vacant Flat Land,partial,dryer;washing machine,,Yes,-43.5217407,172.6044264
182D MILTON STREET,SYDENHAM,CHRISTCHURCH,8023,Townhouse,2,1,1,,1,116,91,2010,480,28/01/2025,7,-,530000,175000,355000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-OYO-2010/2019-average,nill,,,YES,-43.5519922,172.6315186
2/91 ROBERTA DRIVE,SOMERFIELD,CHRISTCHURCH,8024,Unit,2,1,1,,1,,91,1960,480,17/06/2025,7,Warwick Todd Ltd,470000,340000,130000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.5604633,172.6207082
2/4 CHARITY LANE,SPREYDON,CHRISTCHURCH,8024,Unit,2,1,1,,1,,94,1970,480,23/01/2025,8,"Holmwood Property Management - Sherborne, (Licensed: Reaa 2008)",405000,250000,155000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Brick,Residential-OYO-1970's-average,nill,,,YES,-43.5561831,172.6055675
6/45 WARD STREET,ADDINGTON,CHRISTCHURCH,8024,Unit,2,1,1,,1,,95,1990,480,10/07/2025,1262,Prestige Property Management Limited,420000,116000,304000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1990's-average,nill,,No,YES,-43.5457069,172.6199792
1/25 WARDEN STREET,RICHMOND,CHRISTCHURCH,8013,Townhouse,2,1,,1,1,98,100,2025,480,13/02/2025,7,Keyhook,480000,230000,250000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5100945,172.6537873
2/169 COLOMBO STREET,SYDENHAM,CHRISTCHURCH,8023,Townhouse,2,1,,1,1,106,100,2025,480,31/03/2025,8,Harcourts Holmwood Property Management - Sherborne,560000,276705.8824,283294.1176,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1980's-average,nill,,,NO,-43.5559587,172.6366438
2/88 ANTIGUA STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,2,1,,1,1,85,100,2025,480,6/05/2025,225,Harcourts Four Seasons - Rangiora,510000,175000,335000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1990's-average,nill,,No,NO,-43.5447415,172.6283324
1/206 YALDHURST ROAD,AVONHEAD,CHRISTCHURCH,8042,Unit,2,1,1,,1,,100,1960,480,16/07/2025,7,Red Chili Property Management Ltd,510000,285000,225000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.525768,172.5528917
1/81 Spencer Street,Addington,Christchurch City,8024,apartment,2,1,1,,1,140,100,1996,480,12/08/2025,43,Holmwood Property Management,550000,200520.8333,349479.1667,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1990's-average,,,,Yes,-43.5472894,172.6146385
46 BRODIE STREET,ILAM,CHRISTCHURCH,8041,Unit,2,1,2,,2,506,100,1967,480,19/08/2025,22,Bayleys Property Management Ltd,550000,385964.9123,164035.0877,1/08/2022,Multi-unit,Residential Zone D,Inside,No appreciable view,Mix.Material,Mix.Material,Residential-Multiple Dwellings-Mixed Age-average,nill,,No,YES,-43.5266342,172.5680876
24 BECKFORD ROAD,SAINT MARTINS,CHRISTCHURCH,8022,House,2,1,,,,450,100,1950,480,5/09/2025,10,Harcourts Gold Property Management,570000,400000,170000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1950's-average,nill,,,NO,-43.5580547,172.6561126
1/19 NEWBRIDGE PLACE,ILAM,CHRISTCHURCH,8041,Unit,2,1,,1,1,98,100,1960,480,5/09/2025,15,-,545000,390000,155000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Brick,Residential-OYO-1960's-average,Fully Furnished,,,NO,-43.5202968,172.5753204
1/81 SPENCER STREET,ADDINGTON,CHRISTCHURCH,8024,,2,1,1,,1,,100,1990,480,8/09/2025,30,Holmwood Property Management,550000,245000,305000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1990's-average,,,,YES,-43.5472894,172.6146385
33A RUSKIN STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,2,2,1,,1,128,102,2017,480,10/07/2025,414,Holmwood Property Management,660000,190000,470000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,nill,,,YES,-43.5456683,172.6238736
5/63 BURKE STREET,ADDINGTON,CHRISTCHURCH,8024,Townhouse,2,1,1,,1,,103,2000,480,18/06/2025,58,-,610000,205000,405000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2000/2009-average,nill,,,YES,-43.5448835,172.6259099
1/64 VICTORS ROAD,HOON HAY,CHRISTCHURCH,8025,Townhouse,2,1,1,,1,98,104,2025,480,19/05/2025,7,-,455000,235000,220000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,YES,-43.5632319,172.5953127
3/75 THACKERAY PLACE,WALTHAM,CHRISTCHURCH,8023,Townhouse,2,1,1,,1,,105,2000,480,4/05/2025,32,Iron Bridge Property Management - Christchurch,490000,195000,295000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2000/2009-average,partial,fridge;fridge/freezer;washing machine,No,YES,-43.5461424,172.6499583
3/135A RUGBY STREET,MERIVALE,CHRISTCHURCH,8014,Townhouse,2,1,,1,1,137,110,2025,480,5/04/2025,2,-,780000,470000,310000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Tile Profile,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5137301,172.621497
51E KING STREET,SYDENHAM,CHRISTCHURCH,8023,Townhouse,2,1,1,,1,106,110,2025,480,14/07/2025,7,Myrent.Co.NZ Ltd,490000,225000,265000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1990's-average,partial,fridge;washing machine,No,YES,-43.5516584,172.6401305
51a Woodbury Street,Avonhead,Christchurch City,8042,unit,2,1,1,1,1,140,110,1970,480,18/07/2025,68,"Ray White Metro Property Management (A J McPherson & Associates Ltd), (Licensed: REAA 2008)",530000,330000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,,,,Yes,-43.5147536,172.5407841
1/36 HEATHCOTE STREET,WOOLSTON,CHRISTCHURCH,8023,Townhouse,2,1,1,,1,87,110,2025,480,27/08/2025,35,Rentworks Property Management 2018 Ltd,495000,245000,250000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1990's-average,nill,,,YES,-43.5501776,172.6829325
1/12 LYNDON STREET,RICCARTON,CHRISTCHURCH,8011,Townhouse,2,1,,,,99,112,2025,480,17/02/2025,6,-,580000,335000,245000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Brick,Residential-OYO-1980's-average,,,,NO,-43.5356056,172.604106
1/17 LLOYD STREET,STROWAN,CHRISTCHURCH,8052,Townhouse,2,1,,1,1,98,114,2025,480,31/01/2025,8,Whittle Knight Real Estate Agents,540000,400000,140000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1970's-average,nill,,,NO,-43.5119904,172.6066767
2/3 DELLOW PLACE,SPREYDON,CHRISTCHURCH,8024,Townhouse,2,1,1,,1,117,116,2025,480,23/05/2025,2,Iron Bridge Property Management - Christchurch,585000,214500,370500,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Tile Profile,Brick,Residential-OYO-1970's-average,nill,,,YES,-43.5547449,172.6083324
2/53 DONNINGTON STREET,PARKLANDS,CHRISTCHURCH,8083,Townhouse,2,1,1,,1,,121,2018,480,3/04/2025,7,Red Chili Property Management Ltd,560000,235000,325000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-2010/2019-average,nill,,,YES,-43.4829896,172.7055414
1/55 MAIDSTONE ROAD,ILAM,CHRISTCHURCH,8041,Townhouse,2,1,1,,1,98,130,2025,480,1/08/2025,7,"Irelands, (Licensed: Reaa 2008)",570000,380000,190000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Tile Profile,Concrete,Residential-OYO-1960's-average,nill,,,YES,-43.5173905,172.5740325
1/238 MILTON STREET,SYDENHAM,CHRISTCHURCH,8023,Unit,2,1,,1,1,736,250,1970,480,10/02/2025,19,Harcourts Asset Managers,,,120000,1/08/2022,Single Unit excluding Bach,Residential Zone C,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1970's-average,partial,fridge;fridge/freezer;washing machine,,NO,-43.5508113,172.6341724
1A CHARLES UPHAM AVENUE,HILLMORTON,CHRISTCHURCH,8025,,2,1,,2,2,,,1960,480,19/02/2025,7,"Holmwood Property Management - Sherborne, (Licensed: Reaa 2008)",600000,245000,355000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.557127,172.5858996
1/25 ARAWA STREET,SHIRLEY,CHRISTCHURCH,8013,Townhouse,2,2,1,,1,675,,1960,480,14/04/2025,29,Propertyscouts North Christchurch,,,340000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2010/2019-average,,,,YES,-43.5065608,172.6566095
4 PARLANE STREET,ADDINGTON,CHRISTCHURCH,8024,,2,2,,2,2,460,,1940,480,25/04/2025,72,Warwick Todd Ltd,750000,530000,220000,1/08/2022,Multi-unit,Commercial Local,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Vacant Flat Land,nill,,,NO,-43.5437043,172.6124416
1/45 Bletsoe Avenue,Spreydon,Christchurch City,8024,Townhouse,2,1,,,,,,2020,480,17/09/2025,7,Wolfbrook Property Management,,,,1/08/2022,,,,,,,,,,Pets OK,No,-43.5515147,172.6229936
2/183 HUXLEY STREET,SYDENHAM,CHRISTCHURCH,8023,House,3,1,,2,2,,80,1990,480,13/03/2025,7,"Irelands, (Licensed: Reaa 2008)",495000,300000,195000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-Dwelling-1990's-average,nill,,Pets OK,NO,-43.5544539,172.6468382
2/15 KEPPEL STREET,NEW BRIGHTON,CHRISTCHURCH,8083,Unit,3,1,,1,1,,92,1990,480,7/03/2025,127,Harcourts Gold,510000,230000,280000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-1990's-average,nill,,,NO,-43.5037075,172.7284299
2 ALLSTONE PLACE,BURWOOD,CHRISTCHURCH,8083,House,3,1,,2,2,617,93,1970,480,6/03/2025,7,"Grassam Real Estate Ltd, (Licensed: Reaa 2008)",550000,355000,195000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1970's-average,nill,,,NO,-43.4831562,172.6845912
46 SUFFOLK STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,Townhouse,3,1,1,,1,144,93,2000,480,16/05/2025,65,"Braziers Limited, (Licensed: Reaa 2008)",465000,150000,315000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-2000/2009-average,partial,fridge;washing machine,Pets OK,YES,-43.5333873,172.661203
24 Beckford Road,St. Martins,Christchurch City,8022,Apartment,3,2,,,,450,100,1950,480,1/09/2025,23,Harcourts Gold Property Management,570000,400000,170000,1/08/2022,Single Unit excluding Bach,,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1950's-average,,,,No,-43.5580547,172.6561126
40 Rountree Street,Ilam,Christchurch City,8041,House,3,1,1,1,1,675,102,1950,480,16/09/2025,8,,650000,560000,90000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1950's-average,,,,Yes,-43.5271908,172.5758849
414 BARRINGTON STREET,SPREYDON,CHRISTCHURCH,8024,House,3,1,,1,1,330,104,1930,480,21/07/2025,7,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",530000,360000,170000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,nill,,,NO,-43.5505011,172.6115294
414 Barrington Street,Spreydon,Christchurch City,8024,House,3,1,,1,1,330,104,1930,480,21/07/2025,65,"Whittle Knight Real Estate Ltd, (Licensed: REAA 2008)",530000,360000,170000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1930's-average,,,Pets OK,No,-43.5505011,172.6115294
5/34 EVERSLEIGH STREET,ST ALBANS,CHRISTCHURCH,8014,Unit,3,1,1,,1,,110,1990,480,30/01/2025,8,Harcourts Gold,600000,295000,305000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-1990's-average,nill,,,YES,-43.5172277,172.6347568
2/7 HIGHSTED ROAD,BISHOPDALE,CHRISTCHURCH,8053,Unit,3,1,1,,1,,110,1980,480,14/08/2025,27,Real Property Management Ltd,480000,300000,180000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Rear,No appreciable view,Tile Profile,Concrete,Residential-OYO-1980's-average,nill,,,YES,-43.4875332,172.5883727
1/183 HUXLEY STREET,SYDENHAM,CHRISTCHURCH,8023,House,3,1,,2,2,,112,1910,480,19/03/2025,8,Irelands,495000,395000,100000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5546621,172.6465247
46 Brodie St,Ilam,Christchurch City,8041,house,3,1,2,2,2,598,114,1967,480,19/08/2025,36,Bayleys Property Management Ltd,1310000,560000,230000,1/08/2022,Multi-unit,,Inside,No appreciable view,Mix.Material,Mix.Material,Residential-Multiple Dwellings-Mixed Age-average,,,,No,-43.5266342,172.5680876
55A REYNOLDS AVENUE,BISHOPDALE,CHRISTCHURCH,8053,Unit,3,1,1,,1,,120,1970,480,3/04/2025,29,Vision Property Management,520000,250000,270000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Brick,Residential-OYO-1970's-average,nill,,,YES,-43.485265,172.5923082
76 PAGES ROAD,LINWOOD,CHRISTCHURCH,8062,House,3,1,,1,1,523,120,1960,480,7/08/2025,18,Holmwood Property Management,550000,255000,295000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1960's-average,nill,,No,NO,-43.5238673,172.6875248
1/94 WAINUI STREET,RICCARTON,CHRISTCHURCH,8041,Unit,3,1,1,,1,,120,1990,480,5/09/2025,5,-,620000,340000,280000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-OYO-1990's-average,,,,YES,-43.5319095,172.5934707
168 GAYHURST ROAD,DALLINGTON,CHRISTCHURCH,8061,House,3,1,,3,3,678,139,1950,480,21/03/2025,43,Irelands,550000,340000,210000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-1950's-average,nill,,,NO,-43.5115542,172.6740828
20 AVERILL STREET,RICHMOND,CHRISTCHURCH,8013,House,3,1,,1,1,694,154,1920,480,3/02/2025,7,Wolfbrook Property Management,710000,340000,370000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1914/1929-average,nill,,,NO,-43.5132185,172.6577322
1/20 NEILL STREET,HORNBY,CHRISTCHURCH,8042,,3,2,,1,1,809,,2018,480,7/07/2025,7,Harcourts Gold Property Management,,,275000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-pre 1914-average,nill,,Pets OK,NO,-43.54492,172.5324913
443 ILAM ROAD,BRYNDWR,CHRISTCHURCH,8052,House,3,1,2,,2,759,,1950,480,7/08/2025,7,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",960000,760000,200000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Weatherboard,Residential-Dwelling-1950's-average,nill,unfurnished,No,YES,-43.5081188,172.593613
26 CHELSEA STREET,LINWOOD,CHRISTCHURCH,8062,,3,2,2,1,3,857,,2000,480,8/09/2025,2,Trust Property Group,910000,455000,455000,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-mixed age,nill,,,YES,-43.5337405,172.6775882
2/21 STUDHOLME STREET,SOMERFIELD,CHRISTCHURCH,8024,,1,1,,1,1,,51,1980,485,16/05/2025,7,The Good Girls Property Management Ltd,430000,270000,160000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Steel/G-Iron,Residential-Dwelling-1980's-poor,,,,NO,-43.5613874,172.6298236
29/180 MARINE PARADE,NEW BRIGHTON,CHRISTCHURCH,8083,Townhouse,1,1,1,,1,55,57,2023,485,9/05/2025,7,Managed By Williams,490000,220000,270000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;fridge;washer;washer/dryer,,YES,-43.5039596,172.7290261
14/232 MARINE PARADE,NEW BRIGHTON,CHRISTCHURCH,8061,Townhouse,1,1,1,,1,67,59,2020,485,26/02/2025,26,Managed By Williams,490000,220000,270000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5092124,172.7311489
2/75 GERALDINE STREET,EDGEWARE,CHRISTCHURCH,8013,Townhouse,2,1,,1,1,,56,2016,485,29/01/2025,51,Freedom Property Management Limited,450000,185000,265000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2010/2019-average,nill,,,NO,-43.5170952,172.6471891
466B WILSONS ROAD,WALTHAM,CHRISTCHURCH,8011,Townhouse,2,2,1,,1,126,60,2023,485,3/04/2025,7,Forsyth Property Management,500000,145000,355000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Fibre Cement,Residential-OYO-2020/2029-average,partial,washing machine,,YES,-43.540642,172.656843
2/203 Springfield Road,St. Albans,Christchurch City,8014,unit,2,1,1,,1,140,60,1960,485,19/09/2025,5,Rent Right Property Management Ltd,395000,200000,195000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,,,,Yes,-43.5109561,172.6308385
20A WOODHAM ROAD,LINWOOD,CHRISTCHURCH,8062,,2,1,1,,1,210,66,2025,485,4/06/2025,15,-,550000,210000,340000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2020/2029-average,nill,,,YES,-43.5252642,172.6842371
4/514 SAINT ASAPH STREET,PHILLIPSTOWN,CHRISTCHURCH,8011,Unit,2,1,,1,1,,70,1975,485,27/04/2025,39,Cowdy,440000,130000,310000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-1970's-average,nill,,,NO,-43.5372053,172.659389
2/515 WORCESTER STREET,LINWOOD,CHRISTCHURCH,8011,Townhouse,2,2,1,,1,148,71,2022,485,4/05/2025,64,Holmwood Property Management,530000,175000,355000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Rear,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5307316,172.665127
24D PARLANE STREET,ADDINGTON,CHRISTCHURCH,8024,,2,1,1,,1,132,71,2018,485,8/09/2025,17,A1 Property Managers Ltd,620000,170000,450000,1/08/2022,Single Unit excluding Bach,Residential Zone D,Rear,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Dwelling-2010/2019-average,partial,dryer;washing machine,,YES,-43.5445481,172.6128247
208/150 Tuam Street,City Centre,Christchurch City,2025,apartment,2,1,,,,76,72.5,,485,24/09/2025,0,Page Property Management,582500,293827.4336,288672.5664,1/08/2022,Car Parking,Commercial Central City (South Frame) Mixed Use,Inside,,,,Residential - Car Park,,,,No,-43.5354978,172.6351405
7/25 HARGEST CRESCENT,SYDENHAM,CHRISTCHURCH,8023,Townhouse,2,1,,,,84,78,2020,485,18/03/2025,7,Rent Wise Property Management,620000,170000,450000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,partial,dryer;fridge;washing machine,,NO,-43.54897,172.6452067
4/550 BARBADOES STREET,EDGEWARE,CHRISTCHURCH,8013,Townhouse,2,1,,,,86,78,2020,485,15/08/2025,62,Rent Wise Property Management,600000,210000,390000,1/08/2022,Single Unit excluding Bach,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2020/2029-average,nill,,,NO,-43.514448,172.6464986
63 OFFICE ROAD,MERIVALE,CHRISTCHURCH,8014,,2,2,,2,2,137,80,1960,485,30/04/2025,49,Harcourts Asset Managers,690000,564545.4545,125454.5455,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,Brick,Residential-Vacant Flat Land,nill,,,NO,-43.5146765,172.6169124
23 Landsdowne Terrace,Cashmere,Christchurch City,8022,unit,2,1,1,,1,106,80,1960,485,24/07/2025,62,Utiger Properties,450000,252000,198000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,,,Pets OK,No,-43.5719057,172.6405995
2/38 TRENT STREET,LINWOOD,CHRISTCHURCH,8011,,2,1,2,,2,,81,1975,485,13/03/2025,7,Ruby Property Enterprises Ltd,390000,145000,245000,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Concrete,Residential-Dwelling-1970's-average,nill,,,YES,-43.5266521,172.660283
2/85 YALDHURST ROAD,SOCKBURN,CHRISTCHURCH,8042,,2,1,1,,1,,81,2000,485,3/04/2025,15,Whittle Knight Real Estate Agents,500000,250000,250000,1/08/2022,Single Unit excluding Bach,Residential Suburban,Rear,No appreciable view,Steel/G-Iron,Brick,Residential-Dwelling-2000/2009-average,partial,fridge,No,YES,-43.5294483,172.5628172
10 ACHILLES STREET,BURWOOD,CHRISTCHURCH,8061,House,2,1,,2,2,759,84,1940,485,9/05/2025,7,Priority Property Management Ltd,475000,280000,195000,1/08/2022,Single Unit excluding Bach,Central City Guest Accommodation,Inside,No appreciable view,Tile Profile,Weatherboard,Residential-Dwelling-1940's-average,nill,,,NO,-43.5101015,172.6658292
