iter	Passed	Remaining
549	29919	76865
550	29968	76797
551	30014	76720
552	30077	76690
553	30154	76692
554	30208	76637
555	30265	76590
556	30319	76533
557	30374	76479
558	30422	76410
559	30484	76375
560	30540	76325
561	30588	76254
562	30638	76188
563	30698	76148
564	30753	76095
565	30810	76046
566	30877	76022
567	30932	75970
568	30977	75891
569	31020	75810
570	31064	75729
571	31109	75653
572	31163	75596
573	31241	75600
574	31288	75527
575	31333	75449
576	31381	75381
577	31429	75311
578	31481	75252
579	31538	75202
580	31592	75147
581	31636	75069
582	31681	74991
583	31724	74910
584	31787	74877
585	31834	74806
586	31886	74746
587	31941	74692
588	31998	74645
589	32054	74594
590	32107	74537
591	32168	74498
592	32234	74470
593	32291	74421
594	32375	74436
595	32440	74407
596	32504	74372
597	32554	74309
598	32612	74262
599	32665	74205
600	32740	74196
601	32793	74139
602	32840	74068
603	32921	74073
604	33007	74089
605	33058	74027
606	33117	73982
607	33209	74011
608	33268	73966
609	33326	73918
610	33376	73855
611	33451	73844
612	33543	73873
613	33612	73848
614	33671	73804
615	33733	73764
616	33794	73723
617	33871	73716
618	33942	73697
619	34023	73699
620	34083	73656
621	34141	73607
622	34206	73573
623	34264	73524
624	34339	73513
625	34393	73457
626	34461	73429
627	34526	73395
628	34592	73364
629	34646	73307
630	34694	73237
631	34741	73165
632	34786	73089
633	34834	73020
634	34878	72943
635	34932	72886
636	34985	72826
637	35045	72781
638	35109	72745
639	35182	72729
640	35245	72690
641	35304	72643
642	35350	72570
643	35405	72516
644	35482	72505
645	35543	72462
646	35589	72389
647	35637	72320
648	35691	72261
649	35739	72192
650	35783	72117
651	35836	72057
652	35882	71984
653	35963	71981
654	36020	71930
655	36087	71899
656	36150	71860
657	36204	71802
658	36258	71747
659	36302	71670
660	36346	71593
661	36393	71521
662	36463	71497
663	36545	71495
664	36633	71503
665	36731	71532
666	36789	71483
667	36843	71426
668	36907	71387
669	36999	71402
670	37055	71350
671	37111	71295
672	37169	71246
673	37240	71220
674	37292	71159
675	37345	71099
676	37392	71029
677	37441	70961
678	37500	70914
679	37563	70872
680	37620	70822
681	37670	70757
682	37733	70715
683	37806	70694
684	37855	70626
685	37916	70581
686	37970	70524
687	38021	70461
688	38083	70418
689	38141	70368
690	38204	70328
691	38262	70277
692	38324	70234
693	38388	70193
694	38442	70136
695	38507	70100
696	38572	70061
697	38639	70026
698	38699	69979
699	38878	70148
700	38995	70203
701	39056	70156
702	39120	70116
703	39180	70068
704	39245	70030
705	39310	69990
706	39374	69949
707	39435	69902
708	39488	69842
709	39548	69793
710	39607	69744
711	39670	69701
712	39715	69627
713	39762	69556
714	39813	69493
715	39866	69432
716	39935	69400
717	39966	69301
718	40014	69231
719	40076	69187
720	40134	69135
721	40183	69069
722	40234	69005
723	40297	68962
724	40346	68895
725	40406	68846
726	40485	68831
727	40538	68770
728	40610	68741
729	40671	68695
730	40722	68632
731	40748	68526
732	40794	68454
733	40839	68380
734	40895	68325
735	40944	68260
736	40994	68194
737	41068	68169
738	41125	68116
739	41181	68061
740	41244	68017
741	41305	67970
742	41367	67925
743	41437	67892
744	41498	67846
745	41568	67812
746	41649	67798
747	41752	67819
748	41814	67773
749	41899	67764
750	41962	67720
751	42025	67676
752	42079	67617
753	42141	67572
754	42216	67546
755	42283	67507
756	42358	67483
757	42425	67443
758	42487	67397
759	42548	67350
760	42606	67296
761	42654	67228
762	42709	67170
763	42784	67144
764	42829	67071
765	42886	67017
766	42943	66962
767	42989	66891
768	43035	66820
769	43083	66750
770	43135	66689
771	43190	66631
772	43263	66601
773	43335	66571
774	43384	66504
775	43447	66459
776	43494	66388
777	43544	66324
778	43590	66253
779	43660	66218
780	43720	66169
781	43784	66124
782	43851	66084
783	43912	66036
784	43977	65994
785	44030	65933
786	44088	65880
787	44113	65778
788	44179	65737
789	44229	65672
790	44294	65629
791	44350	65573
792	44394	65500
793	44443	65433
794	44490	65365
795	44550	65314
796	44613	65268
797	44658	65196
798	44703	65125
799	44768	65082
800	44830	65035
801	44877	64966
802	44931	64906
803	44984	64847
804	45058	64817
805	45117	64765
806	45182	64722
807	45246	64677
808	45311	64635
809	45360	64569
810	45410	64504
811	45485	64475
812	45558	64442
813	45612	64384
814	45674	64336
815	45760	64322
816	45811	64259
817	45863	64198
818	45908	64126
819	45952	64053
820	45996	63980
821	46039	63906
822	46085	63837
823	46130	63765
824	46191	63715
825	46261	63679
826	46310	63613
827	46354	63541
828	46397	63468
829	46442	63396
830	46485	63323
831	46530	63252
832	46580	63187
833	46643	63141
834	46704	63092
835	46750	63023
836	46807	62969
837	46868	62919
838	46913	62849
839	46959	62780
840	47002	62707
841	47048	62637
842	47092	62566
843	47137	62496
844	47182	62426
845	47239	62371
846	47284	62301
847	47328	62229
848	47371	62157
849	47415	62085
850	47459	62015
851	47513	61957
852	47557	61886
853	47612	61829
854	47661	61765
855	47705	61694
856	47749	61623
857	47793	61552
858	47837	61480
859	47881	61410
860	47924	61338
861	47969	61269
862	48013	61198
863	48057	61128
864	48102	61059
865	48146	60989
866	48192	60921
867	48250	60869
868	48301	60807
869	48346	60738
870	48390	60668
871	48433	60597
872	48482	60533
873	48530	60468
874	48575	60400
875	48628	60341
876	48685	60288
877	48743	60235
878	48797	60177
879	48847	60115
880	48925	60087
881	48972	60021
882	49020	59957
883	49082	59909
884	49129	59843
885	49193	59798
886	49257	59752
887	49314	59699
888	49362	59635
889	49412	59572
890	49459	59506
891	49508	59443
892	49573	59398
893	49633	59349
894	49693	59299
895	49776	59276
896	49847	59239
897	49909	59191
898	49971	59142
899	50018	59077
900	50066	59012
901	50121	58956
902	50200	58928
903	50261	58879
904	50313	58819
905	50366	58760
906	50434	58720
907	50495	58670
908	50553	58617
909	50618	58573
910	50665	58507
911	50724	58454
912	50775	58394
