index,target_value,target_zscore,Bed_value,Bath_value,Car_value,Land Size (sqm)_value,Floor Size (sqm)_value,Year Built_value,Days on Market_value,Capital Value_value,Last Rental Price_value,Bed_zscore,Bath_zscore,Car_zscore,Land Size (sqm)_zscore,Floor Size (sqm)_zscore,Year Built_zscore,Days on Market_zscore,Capital Value_zscore,Last Rental Price_zscore
336,460.0,-1.0342333333333333,2,1,1.0,508.0,91.0,1970.0,7.0,390000,460.0,-0.6745,0.0,0.0,0.0,-0.6520166666666667,-0.22483333333333333,0.0,-1.5942727272727273,-1.0342333333333333
337,460.0,-1.0342333333333333,2,1,1.0,508.0,91.0,1970.0,7.0,400000,460.0,-0.6745,0.0,0.0,0.0,-0.6520166666666667,-0.22483333333333333,0.0,-1.5329545454545455,-1.0342333333333333
338,450.0,-1.1241666666666668,2,1,1.0,508.0,60.0,1970.0,7.0,385000,450.0,-0.6745,0.0,0.0,0.0,-1.349,-0.22483333333333333,0.0,-1.6249318181818182,-1.1241666666666668
346,350.0,-2.0235,2,1,1.0,508.0,110.0,1990.0,7.0,310000,350.0,-0.6745,0.0,0.0,0.0,-0.22483333333333333,0.22483333333333333,0.0,-2.0848181818181817,-2.0235
347,335.0,-2.1584,2,1,1.0,508.0,60.0,1965.0,7.0,315000,335.0,-0.6745,0.0,0.0,0.0,-1.349,-0.33725,0.0,-2.0541590909090908,-2.1584
349,380.0,-1.7537,2,1,1.0,508.0,60.0,1970.0,7.0,360000,380.0,-0.6745,0.0,0.0,0.0,-1.349,-0.22483333333333333,0.0,-1.7782272727272728,-1.7537
355,440.0,-1.2141,2,1,1.0,508.0,50.0,1970.0,7.0,370000,440.0,-0.6745,0.0,0.0,0.0,-1.5738333333333332,-0.22483333333333333,0.0,-1.716909090909091,-1.2141
356,460.0,-1.0342333333333333,2,1,1.0,508.0,50.0,1970.0,7.0,370000,460.0,-0.6745,0.0,0.0,0.0,-1.5738333333333332,-0.22483333333333333,0.0,-1.716909090909091,-1.0342333333333333
358,430.0,-1.3040333333333332,2,1,1.0,508.0,80.0,1975.0,7.0,420000,430.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,-0.11241666666666666,0.0,-1.4103181818181818,-1.3040333333333332
360,460.0,-1.0342333333333333,2,1,1.0,508.0,70.0,1975.0,7.0,295000,460.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.11241666666666666,0.0,-2.1767954545454544,-1.0342333333333333
361,430.0,-1.3040333333333332,2,1,1.0,508.0,70.0,1975.0,7.0,405000,430.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.11241666666666666,0.0,-1.5022954545454545,-1.3040333333333332
363,420.0,-1.3939666666666666,2,1,1.0,508.0,60.0,1975.0,7.0,350000,420.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.8395454545454546,-1.3939666666666666
367,420.0,-1.3939666666666666,2,1,1.0,508.0,65.0,2016.0,7.0,530000,420.0,-0.6745,0.0,0.0,0.0,-1.2365833333333331,0.8094,0.0,-0.7358181818181818,-1.3939666666666666
372,460.0,-1.0342333333333333,2,1,1.0,508.0,56.0,2016.0,7.0,450000,460.0,-0.6745,0.0,0.0,0.0,-1.4389333333333334,0.8094,0.0,-1.2263636363636363,-1.0342333333333333
374,430.0,-1.3040333333333332,2,1,1.0,508.0,60.0,1975.0,7.0,370000,430.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.716909090909091,-1.3040333333333332
376,400.0,-1.5738333333333332,2,1,1.0,508.0,60.0,1975.0,7.0,365000,400.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.7475681818181819,-1.5738333333333332
409,420.0,-1.3939666666666666,2,1,1.0,508.0,60.0,1965.0,7.0,335000,420.0,-0.6745,0.0,0.0,0.0,-1.349,-0.33725,0.0,-1.9315227272727273,-1.3939666666666666
417,460.0,-1.0342333333333333,2,1,1.0,508.0,80.0,2007.0,7.0,560000,460.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,0.60705,0.0,-0.5518636363636363,-1.0342333333333333
421,385.0,-1.7087333333333334,2,1,1.0,508.0,66.0,1975.0,7.0,425000,385.0,-0.6745,0.0,0.0,0.0,-1.2141,-0.11241666666666666,0.0,-1.379659090909091,-1.7087333333333334
424,420.0,-1.3939666666666666,2,1,1.0,508.0,70.0,1965.0,7.0,340000,420.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.33725,0.0,-1.9008636363636364,-1.3939666666666666
439,375.0,-1.7986666666666666,2,1,1.0,508.0,70.0,1975.0,7.0,450000,375.0,-0.6745,0.0,0.0,0.0,-1.1241666666666668,-0.11241666666666666,0.0,-1.2263636363636363,-1.7986666666666666
440,410.0,-1.4839,2,1,1.0,508.0,50.0,1975.0,7.0,355000,410.0,-0.6745,0.0,0.0,0.0,-1.5738333333333332,-0.11241666666666666,0.0,-1.8088863636363637,-1.4839
441,400.0,-1.5738333333333332,2,1,1.0,508.0,50.0,1975.0,7.0,315000,400.0,-0.6745,0.0,0.0,0.0,-1.5738333333333332,-0.11241666666666666,0.0,-2.0541590909090908,-1.5738333333333332
442,350.0,-2.0235,2,1,1.0,508.0,60.0,1975.0,7.0,355000,350.0,-0.6745,0.0,0.0,0.0,-1.349,-0.11241666666666666,0.0,-1.8088863636363637,-2.0235
452,440.0,-1.2141,2,1,1.0,508.0,80.0,1970.0,7.0,1060000,440.0,-0.6745,0.0,0.0,0.0,-0.8993333333333333,-0.22483333333333333,0.0,2.5140454545454545,-1.2141
456,450.0,-1.1241666666666668,2,1,1.0,508.0,120.0,1970.0,7.0,700000,450.0,-0.6745,0.0,0.0,0.0,0.0,-0.22483333333333333,0.0,0.3065909090909091,-1.1241666666666668
461,395.0,-1.6188,2,1,1.0,508.0,90.0,1960.0,7.0,610000,395.0,-0.6745,0.0,0.0,0.0,-0.6745,-0.44966666666666666,0.0,-0.24527272727272728,-1.6188
492,450.0,-1.1241666666666668,2,1,1.0,347.0,80.0,1950.0,7.0,520000,450.0,-0.6745,0.0,0.0,-1.0149018691588785,-0.8993333333333333,-0.6745,0.0,-0.7971363636363636,-1.1241666666666668
498,450.0,-1.1241666666666668,2,1,1.0,508.0,90.0,1980.0,7.0,495000,450.0,-0.6745,0.0,0.0,0.0,-0.6745,0.0,0.0,-0.9504318181818182,-1.1241666666666668
500,450.0,-1.1241666666666668,2,1,1.0,508.0,75.0,1960.0,7.0,385000,450.0,-0.6745,0.0,0.0,0.0,-1.01175,-0.44966666666666666,0.0,-1.6249318181818182,-1.1241666666666668
