street_address,Suburb,city,Postcode,property_type2,Bed,Bath,garage_parks,offstreet_parks,Car,land_size,floor_size,Year Built,Last Rental Price,Last Rental Date,Days on Market,agency,Capital Value,Land Value,Improvement Value,Valuation Date,land_use,development_zone,position,view,roof_construction,wall_construction,category,Furnishings,furnishings_evidence,pets,garage,Latitude,Longitude,__row_id,__geo_query__
174 STRICKLAND STREET,SYDENHAM,CHRISTCHURCH,8023,Townhouse,2.0,4.0,1.0,,1.0,527.0,371.0,2005.0,550.0,2025-06-20,38.0,Real Property Management Ltd,1510000.0,460000.0,1050000.0,1/08/2022,Multi-unit,Residential Medium Density,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-OYO-2000/2009-average,nill,,,YES,-43.5503533,172.6292231,5673,"174 STRICKLAND STREET, SYDENHAM, CHRISTCHURCH, 8023, New Zealand"
1/46 MARYHILL AVENUE,HOON HAY,CHRISTCHURCH,8025,,3.0,1.0,,4.0,3.0,1045.0,,1990.0,620.0,2025-06-20,7.0,Property Partner,630000.0,330000.0,400000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Fibre Cement,Residential-Dwelling-1950's-average,,,,NO,-43.5646964,172.6028978,6488,"1/46 MARYHILL AVENUE, HOON HAY, CHRISTCHURCH, 8025, New Zealand"
141 ENGLAND STREET,LINWOOD,CHRISTCHURCH,8011,,4.0,2.0,,,0.0,1240.0,150.0,1900.0,495.0,2025-06-20,86.0,Rentworks Property Management 2018 Ltd,810000.0,810000.0,0.0,1/08/2022,Vacant Residential,Residential Medium Density,Corner,No appreciable view,,,Residential-Vacant Flat Land,nill,,,NO,-43.528733,172.6627079,4835,"141 ENGLAND STREET, LINWOOD, CHRISTCHURCH, 8011, New Zealand"
3/69 MANDEVILLE STREET,RICCARTON,CHRISTCHURCH,8011,Unit,2.0,1.0,,1.0,1.0,,77.0,1960.0,520.0,2025-06-20,2.0,Holmwood Property Management,450000.0,250000.0,200000.0,1/08/2022,Single Unit excluding Bach,Commercial Mixed Use,Rear,No appreciable view,Steel/G-Iron,Concrete,Residential-OYO-1960's-average,nill,,,NO,-43.5326202,172.6058381,1147,"3/69 MANDEVILLE STREET, RICCARTON, CHRISTCHURCH, 8011, New Zealand"
5/33 DIAMOND AVENUE,SPREYDON,CHRISTCHURCH,8024,Townhouse,2.0,2.0,1.0,,1.0,79.0,77.0,2025.0,540.0,2025-06-20,10.0,Opes Property Management South Limited,590000.0,200000.0,390000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.5524787,172.6146732,1137,"5/33 DIAMOND AVENUE, SPREYDON, CHRISTCHURCH, 8024, New Zealand"
360 HAREWOOD ROAD,BISHOPDALE,CHRISTCHURCH,8053,House,3.0,1.0,,2.0,2.0,776.0,120.0,1960.0,630.0,2025-06-20,18.0,"Cowdy, (Licensed: Reaa 2008)",750000.0,465000.0,285000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,nill,,Pets OK,NO,-43.4772211,172.583022,3512,"360 HAREWOOD ROAD, BISHOPDALE, CHRISTCHURCH, 8053, New Zealand"
4/33 DIAMOND AVENUE,SPREYDON,CHRISTCHURCH,8024,Townhouse,2.0,2.0,1.0,,1.0,80.0,77.0,2025.0,540.0,2025-06-20,10.0,Opes Property Management South Limited,590000.0,200000.0,390000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban Density Transition,Inside,No appreciable view,Steel/G-Iron,Mix.Material,Residential-OYO-2020/2029-average,nill,,,YES,-43.55245,172.6147058,1136,"4/33 DIAMOND AVENUE, SPREYDON, CHRISTCHURCH, 8024, New Zealand"
22 ROLLESBY STREET,HOON HAY,CHRISTCHURCH,8025,House,3.0,1.0,,2.0,2.0,607.0,120.0,1960.0,640.0,2025-06-20,73.0,-,710000.0,400000.0,310000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Inside,No appreciable view,Tile Profile,Concrete,Residential-Dwelling-1960's-average,nill,,,NO,-43.5680007,172.606931,3532,"22 ROLLESBY STREET, HOON HAY, CHRISTCHURCH, 8025, New Zealand"
31 RAVENNA STREET,AVONHEAD,CHRISTCHURCH,8042,House,3.0,1.0,,1.0,1.0,496.0,100.0,1950.0,595.0,2025-06-20,2.0,"Whittle Knight Real Estate Ltd, (Licensed: Reaa 2008)",610000.0,400000.0,210000.0,1/08/2022,Single Unit excluding Bach,Residential Suburban,Corner,No appreciable view,Tile Profile,"Roughcast,etc",Residential-Dwelling-1950's-average,partial,fridge;fridge/freezer;washing machine,Pets OK,NO,-43.515097,172.5602609,2327,"31 RAVENNA STREET, AVONHEAD, CHRISTCHURCH, 8042, New Zealand"
105 LANGDONS ROAD,PAPANUI,CHRISTCHURCH,8053,Unit,2.0,2.0,,1.0,1.0,511.0,120.0,1910.0,490.0,2025-06-20,7.0,Xclusive Property Management,490000.0,340000.0,150000.0,1/08/2022,Multi-unit,Central City Guest Accommodation,Inside,No appreciable view,Steel/G-Iron,"Roughcast,etc",Residential-Converted Flat-1914/1929-average,nill,,,NO,-43.4916458,172.6026188,3721,"105 LANGDONS ROAD, PAPANUI, CHRISTCHURCH, 8053, New Zealand"
