Last Rental Date,Bed,Last Rental Price,Dollar_Volume,Volume,VWAP_3M,VWAP_2Y,Volume_eq,VWAP_3M_eq,VWAP_2Y_eq,Rolling_Median_3M_bed,Rolling_Median_2Y_bed,Volume_all,VWAP_3M_all,VWAP_2Y_all,Volume_all_eq,VWAP_3M_all_eq,VWAP_2Y_all_eq,Percentage_Diff,Percentage_Diff_eq,Percentage_Diff_all,Percentage_Diff_all_eq,RollMed_VWAP_3M_all_eq_30D,RollMed_VWAP_2Y_all_eq_730D
2023-04-24,0.0,55220.0,55220.0,55220.0,62888.9860626525,159448.16403314527,1.0,53381.75,71351.14285714286,48500.0,53000.0,55220.0,62888.9860626525,159448.16403314527,1.0,53381.75,71351.14285714286,-60.55835045577606,-25.18444994373901,-60.55835045577606,-25.18444994373901,52997.04166666667,88185.18095238096
2023-04-26,0.0,32000.0,32000.0,32000.0,61994.041230960844,157562.33848782163,1.0,52553.181818181816,70976.0,51000.0,55000.0,32000.0,61994.041230960844,157562.33848782163,1.0,52553.181818181816,70976.0,-60.65427701445768,-25.956405238134277,-60.65427701445768,-25.956405238134277,52612.333333333336,87936.76190476191
2023-05-11,0.0,72000.0,72000.0,72000.0,60420.80255210339,156259.4732078932,1.0,50840.416666666664,70090.18181818182,48500.0,53000.0,72000.0,60420.80255210339,156259.4732078932,1.0,50840.416666666664,70090.18181818182,-61.33303068818273,-27.464281946721464,-61.33303068818273,-27.464281946721464,52553.181818181816,86981.20787545788
2023-05-15,0.0,120000.0,120000.0,120000.0,62774.35456739272,154337.18436625466,1.0,53007.083333333336,70132.62222222223,53000.0,55000.0,120000.0,62774.35456739272,154337.18436625466,1.0,53007.083333333336,70132.62222222223,-59.32648711640087,-24.41879163540315,-59.32648711640087,-24.41879163540315,52780.132575757576,86025.65384615384
2023-06-21,0.0,28000.0,28000.0,28000.0,71856.76917939121,153079.3997590941,1.0,58160.38461538462,71216.69565217392,55000.0,55110.0,28000.0,71856.76917939121,153079.3997590941,1.0,58160.38461538462,71216.69565217392,-53.059151464877395,-18.333216554383554,-53.059151464877395,-18.333216554383554,58160.38461538462,85062.21581196581
2023-07-07,0.0,45000.0,45000.0,45000.0,72516.25830886999,153226.16781010362,1.0,56825.90909090909,69216.69565217392,51000.0,53000.0,45000.0,72516.25830886999,153226.16781010362,1.0,56825.90909090909,69216.69565217392,-52.67371145198848,-17.90144190576608,-52.67371145198848,-17.90144190576608,57493.146853146856,84098.77777777778
2023-07-11,0.0,34000.0,34000.0,34000.0,75141.24240531486,151717.89100108764,1.0,58703.333333333336,68701.44680851063,50110.0,51000.0,34000.0,75141.24240531486,151717.89100108764,1.0,58703.333333333336,68701.44680851063,-50.47305106239831,-14.552988240618458,-50.47305106239831,-14.552988240618458,58160.38461538462,82972.01388888889
2023-08-18,0.0,39500.0,39500.0,39500.0,71519.4666252395,150491.27514275347,1.0,55174.28571428572,67978.5,45000.0,50250.0,39500.0,71519.4666252395,150491.27514275347,1.0,55174.28571428572,67978.5,-52.47600463389167,-18.835682290303968,-52.47600463389167,-18.835682290303968,55174.28571428572,82972.01388888889
2023-08-21,0.0,23920.0,23920.0,23920.0,37715.01706484642,152314.1402308012,1.0,36625.0,69934.08695652174,36750.0,53000.0,23920.0,37715.01706484642,152314.1402308012,1.0,36625.0,69934.08695652174,-75.23866332587575,-47.629258357559046,-75.23866332587575,-47.629258357559046,45899.642857142855,81845.25
2023-08-23,0.0,19500.0,19500.0,19500.0,35778.76070883699,151366.5024740133,1.0,34084.0,68955.06382978724,34000.0,51000.0,19500.0,35778.76070883699,151366.5024740133,1.0,34084.0,68955.06382978724,-76.36282788856835,-50.57070778132413,-76.36282788856835,-50.57070778132413,36625.0,81287.57327586207
2023-09-01,0.0,30940.0,30940.0,30940.0,34107.34203875316,150577.82431722851,1.0,31653.333333333332,67924.75,31000.0,50250.0,30940.0,34107.34203875316,150577.82431722851,1.0,31653.333333333332,67924.75,-77.34902719347451,-53.39941135840275,-77.34902719347451,-53.39941135840275,35354.5,80729.89655172414
2023-09-14,0.0,35000.0,35000.0,35000.0,33663.63307072353,149453.1736338645,1.0,31551.428571428572,67169.95918367348,30940.0,49500.0,35000.0,33663.63307072353,149453.1736338645,1.0,31551.428571428572,67169.95918367348,-77.47546455373785,-53.0274709782799,-77.47546455373785,-53.0274709782799,34084.0,79634.39827586207
2023-09-15,0.0,35000.0,35000.0,35000.0,33846.439459079185,148248.88437640545,1.0,31982.5,66526.56,32470.0,49500.0,35000.0,33846.439459079185,148248.88437640545,1.0,31982.5,66526.56,-77.16917762892386,-51.92521603401708,-77.16917762892386,-51.92521603401708,33033.25,78538.9
2023-10-10,0.0,260000.0,260000.0,260000.0,33985.25063604483,147069.67456612387,1.0,32317.777777777777,65908.39215686274,34000.0,49500.0,260000.0,33985.25063604483,147069.67456612387,1.0,32317.777777777777,65908.39215686274,-76.89173465821145,-50.96561041746991,-76.89173465821145,-50.96561041746991,31982.5,77334.5347782258
2023-10-26,0.0,24000.0,24000.0,24000.0,165637.70107691616,90938.32122784322,1.0,63408.57142857143,60842.458333333336,35000.0,49500.0,24000.0,165637.70107691616,90938.32122784322,1.0,63408.57142857143,60842.458333333336,82.14290613735423,4.21763545644278,82.14290613735423,4.21763545644278,47863.1746031746,77308.84375
2023-10-31,0.0,246750.0,246750.0,246750.0,158372.05574317105,90392.70956630773,1.0,58482.5,60090.57142857143,32970.0,49500.0,246750.0,158372.05574317105,90392.70956630773,1.0,58482.5,60090.57142857143,75.20445675654511,-2.676079441985192,75.20445675654511,-2.676079441985192,58482.5,76834.46732954546
