Index,Bed,zRent,zCapVal,isRemoved,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
12,0.0,3.603757142857143,1.2113469387755103,False,1759.0,-0.09231104199066874,810.0,1.126072033898305,1998.0,-0.12263636363636364,1880000,1.2113469387755103,132000.0,3.603757142857143
13,0.0,3.333957142857143,0.9911020408163266,False,1365.0,-0.5056127527216174,795.0,1.0832012711864407,2001.0,0.06131818181818182,1720000,0.9911020408163266,125000.0,3.333957142857143
14,0.0,3.1412428571428572,1.321469387755102,False,1041.0,-0.8454852255054431,607.0,0.5458877118644068,2000.0,0.0,1960000,1.321469387755102,120000.0,3.1412428571428572
15,0.0,3.1412428571428572,1.1425204081632654,False,1485.0,-0.3797340590979782,810.0,1.126072033898305,2001.0,0.06131818181818182,1830000,1.1425204081632654,120000.0,3.1412428571428572
16,0.0,3.1412428571428572,2.0923265306122447,False,2681.0,0.8748569206842924,1260.0,2.4121949152542372,1983.0,-1.0424090909090908,2520000,2.0923265306122447,120000.0,3.1412428571428572
17,0.0,2.9485285714285716,1.2113469387755103,False,1204.0,-0.6745,826.0,1.1718008474576271,2000.0,0.0,1880000,1.2113469387755103,115000.0,2.9485285714285716
18,0.0,2.7558142857142855,1.0186326530612244,False,1623.0,-0.23497356143079315,684.0,0.765957627118644,2017.0,1.0424090909090908,1740000,1.0186326530612244,110000.0,2.7558142857142855
19,0.0,2.7558142857142855,0.9222755102040816,False,1029.0,-0.8580730948678071,1030.0,1.754843220338983,1950.0,-3.065909090909091,1670000,0.9222755102040816,110000.0,2.7558142857142855
20,0.0,2.5657979999999996,5.8227244897959185,False,4651.0,2.941365474339036,2081.0,4.75865466101695,2018.0,1.1037272727272727,5230000,5.8227244897959185,105070.0,2.5657979999999996
21,0.0,2.3703857142857143,1.6518367346938776,False,1024.0,-0.8633180404354589,840.0,1.2118135593220338,1960.0,-2.4527272727272726,2200000,1.6518367346938776,100000.0,2.3703857142857143
22,0.0,2.062197028571428,0.7020306122448979,False,1847.0,0.0,690.0,0.7831059322033898,2000.0,0.0,1510000,0.7020306122448979,92004.0,2.062197028571428
23,0.0,1.8693285714285715,4.5976122448979595,False,5654.0,3.9935015552099533,3480.0,8.75706779661017,2000.0,0.0,4340000,4.5976122448979595,87000.0,1.8693285714285715
24,0.0,1.7978315714285713,0.4680204081632653,False,1014.0,-0.873807931570762,500.0,0.24007627118644068,2020.0,1.2263636363636363,1340000,0.4680204081632653,85145.0,1.7978315714285713
25,0.0,1.7922428571428572,4.349836734693878,False,2854.0,1.0563320373250389,1217.0,2.2892987288135593,2016.0,0.9810909090909091,4160000,4.349836734693878,85000.0,1.7922428571428572
26,0.0,1.7344285714285714,0.2753061224489796,False,807.0,-1.0909486780715396,479.0,0.1800572033898305,2017.0,1.0424090909090908,1200000,0.2753061224489796,83500.0,1.7344285714285714
27,0.0,1.705136,0.2753061224489796,False,812.0,-1.0857037325038879,342.0,-0.2114957627118644,2016.0,0.9810909090909091,1200000,0.2753061224489796,82740.0,1.705136
28,0.0,1.5995285714285714,0.11012244897959184,False,1268.0,-0.6073646967340591,1047.0,1.8034300847457625,1960.0,-2.4527272727272726,1080000,0.11012244897959184,80000.0,1.5995285714285714
29,0.0,1.5976014285714284,0.35789795918367345,False,876.0,-1.018568429237947,570.0,0.4401398305084746,1997.0,-0.18395454545454545,1260000,0.35789795918367345,79950.0,1.5976014285714284
30,0.0,1.5224428571428572,-0.19271428571428573,False,548.0,-1.362636858475894,580.0,0.4687203389830508,1960.0,-2.4527272727272726,860000,-0.19271428571428573,78000.0,1.5224428571428572
31,0.0,1.5224428571428572,6.332040816326531,False,4993.0,3.3001197511664073,2658.0,6.40775,2020.0,1.2263636363636363,5600000,6.332040816326531,78000.0,1.5224428571428572
32,0.0,1.5031714285714286,0.19271428571428573,False,1159.0,-0.7217045101088647,587.0,0.4887266949152542,2000.0,0.0,1140000,0.19271428571428573,77500.0,1.5031714285714286
