Index,Bed,mainTarget,mainZ,zCapVal,zRent,SuspiciousFeats,Land Size (sqm)_val,Land Size (sqm)_z,Floor Size (sqm)_val,Floor Size (sqm)_z,Year Built_val,Year Built_z,Capital Value_val,Capital Value_z,Last Rental Price_val,Last Rental Price_z
150,2.0,Last Rental Price,2.49565,1.349,2.49565,Capital Value[z=1.35];Floor Size (sqm)[z=1.94];Year Built[z=-1.45],218.0,0.0,113.0,1.9355217391304347,1980.0,-1.4453571428571428,760000.0,1.349,675.0,2.49565
669,1.0,Capital Value,2.0797083333333335,2.0797083333333335,0.44966666666666666,Land Size (sqm)[z=-43168000000.00];Year Built[z=2.20],154.0,-43168000000.0,48.0,-0.9442999999999999,2024.0,2.2033666666666667,600000.0,2.0797083333333335,440.0,0.44966666666666666
671,3.0,Last Rental Price,-2.8329000000000004,-1.0492222222222223,-2.8329000000000004,Capital Value[z=-1.05];Floor Size (sqm)[z=-1.80];Year Built[z=-1.01],218.0,0.0,90.0,-1.7986666666666666,1970.0,-1.01175,610000.0,-1.0492222222222223,440.0,-2.8329000000000004
674,4.0,Last Rental Price,-1.2583295081967214,0.88528125,-1.2583295081967214,Floor Size (sqm)[z=1.27],630.0,0.4702043269230769,210.0,1.26806,2000.0,0.505875,1110000.0,0.88528125,440.0,-1.2583295081967214
691,4.0,Capital Value,-2.529375,-2.529375,-1.3246737704918032,Last Rental Price[z=-1.32],218.0,-0.8658245192307692,130.0,-0.8903399999999999,1925.0,-0.7588125,300000.0,-2.529375,425.0,-1.3246737704918032
181,2.0,Last Rental Price,2.0740875,1.01175,2.0740875,Capital Value[z=1.01];Land Size (sqm)[z=-47889500000.00];Floor Size (sqm)[z=1.64],147.0,-47889499999.99999,108.0,1.6422608695652172,2020.0,0.4817857142857143,720000.0,1.01175,650.0,2.0740875
183,2.0,Last Rental Price,2.0740875,1.517625,2.0740875,Capital Value[z=1.52];Land Size (sqm)[z=-62728500000.00];Floor Size (sqm)[z=2.46],125.0,-62728499999.99999,122.0,2.463391304347826,2011.0,0.048178571428571425,780000.0,1.517625,650.0,2.0740875
695,2.0,Capital Value,-2.192125,-2.192125,-1.8042874999999998,Last Rental Price[z=-1.80];Year Built[z=-2.17],218.0,0.0,70.0,-0.5865217391304348,1965.0,-2.1680357142857143,340000.0,-2.192125,420.0,-1.8042874999999998
185,2.0,Last Rental Price,2.0740875,-0.5901875,2.0740875,Land Size (sqm)[z=13490000000.00];Year Built[z=-5.78],238.0,13490000000.0,63.0,-0.9970869565217392,1890.0,-5.781428571428571,530000.0,-0.5901875,650.0,2.0740875
188,2.0,Last Rental Price,2.0740875,1.01175,2.0740875,Capital Value[z=1.01];Land Size (sqm)[z=-33050500000.00];Floor Size (sqm)[z=2.40],169.0,-33050499999.999996,121.0,2.4047391304347827,2023.0,0.6263214285714286,720000.0,1.01175,650.0,2.0740875
189,2.0,Last Rental Price,2.0740875,1.01175,2.0740875,Capital Value[z=1.01];Land Size (sqm)[z=-36423000000.00];Floor Size (sqm)[z=2.40],164.0,-36423000000.0,121.0,2.4047391304347827,2023.0,0.6263214285714286,720000.0,1.01175,650.0,2.0740875
190,2.0,Last Rental Price,2.0740875,0.9274375,2.0740875,Land Size (sqm)[z=-41819000000.00];Floor Size (sqm)[z=1.99],156.0,-41819000000.0,114.0,1.9941739130434784,2023.0,0.6263214285714286,710000.0,0.9274375,650.0,2.0740875
706,2.0,Capital Value,-2.1078125,-2.1078125,-1.8042874999999998,Last Rental Price[z=-1.80];Floor Size (sqm)[z=-1.17];Year Built[z=-1.93],218.0,0.0,60.0,-1.1730434782608696,1970.0,-1.9271428571428573,350000.0,-2.1078125,420.0,-1.8042874999999998
